id,name,capacity,fuel,submitted_date,service_date,county,state,transmission_owner,iso_utility,join_key
618.0,Cumberland CC 500kV SS,757.0,Natural Gas,06/12/2024,06/01/2027,Stewart,TN,TVA,TVA,stewart_tn
590.0,Nickajack Dam,7.0,Other,11/03/2023,01/00/1900,0,AL,TVA,TVA,0_al
604.0,Weyerhaeuser SW - S Macon 161kV TL,224.0,Solar,12/20/2023,10/17/2027,Lowndes,MS,TVA,TVA,lowndes_ms
606.0,TVA's Stateline-West Point 161 kV TL,200.0,Solar,01/22/2024,08/01/2028,Monroe,MS,TVA,TVA,monroe_ms
614.0,Wheeler-Mt. Pleasant 161 kV TL,66.0,Solar,05/20/2024,10/12/2028,Lawrence,TN,TVA,TVA,lawrence_tn
620.0,New Central Region Gas Plant,1513.0,Natural Gas,06/12/2024,06/01/2031,Trousdale,TN,TVA,TVA,trousdale_tn
622.0,New Swqitchyard near Hartsville Switchyard,800.0,Natural Gas,06/12/2024,06/01/2031,Trousdale,TN,TVA,TVA,trousdale_tn
625.0,"Browns Ferry Nuclear Plant 500-kVSwitchyard",6.0,Other,06/12/2024,04/12/2028,Limestone,AL,TVA,TVA,limestone_al
627.0,Existing,25.0,Other,06/12/2024,12/01/2028,Hamilton,TN,TVA,TVA,hamilton_tn
628.0,PARADISE - MONTGOMERY 500 KV,1513.0,Natural Gas,06/12/2024,06/01/2030,Todd,KY,TVA,TVA,todd_ky
632.0,U  Cement Tap - Holman MS 161 kV TL,69.0,Solar,06/28/2024,10/12/2028,Oktibbeha,MS,TVA,TVA,oktibbeha_ms
636.0,Johnsonville Fossil Plant Station,224.0,Natural Gas,07/05/2024,01/01/2028,Humphreys,TN,TVA,TVA,humphreys_tn
637.0,SQN 500kV Switchyard,24.0,Other,08/14/2024,11/05/2027,Hamilton,TN,TVA,TVA,hamilton_tn
639.0,Widow’s Creek FP – Bellefonte NP 161kv TL,100.0,Solar,08/28/2024,08/01/2029,Jackson,AL,TVA,TVA,jackson_al
641.0,"TAP STR 97-LAFARGE HOLCIM (UNITEDCEMENT) 161kV TL",66.0,Solar,08/29/2024,12/01/2028,Oktibbeha,MS,TVA,TVA,oktibbeha_ms
642.0,TVA's Paradise CC 161-kV Substation,96.0,Solar,09/05/2024,01/00/1900,Muhlenberg,KY,TVA,TVA,muhlenberg_ky
643.0,TVA Allen - Freeport 161 kV Line,100.0,Storage,09/06/2024,02/28/2027,helby  Count,TN,TVA,TVA,helbycount_tn
