id,name,capacity,fuel,submitted_date,service_date,county,state,transmission_owner,iso_utility,join_key
IC-1081,Fulton Springs - Gorgas No. 2 115 kV Line,80,Solar,10/26/2022,8/15/2026,Walker,AL,Southern Company,SoCo,walker_al
IC-1080,Fulton Springs - Gorgas No. 2 115 kV Line,80,Solar,10/25/2022,8/15/2026,Walker,AL,Southern Company,SoCo,walker_al
IC-1076,Montgomery SS - Snowdoun 230 kV Line,80,Solar,10/11/2022,12/16/2026,Montgomery,AL,Southern Company,SoCo,montgomery_al
IC-1075,Millers Ferry Dam (COE) - Selma 115 kV Line,80,Solar,10/5/2022,7/15/2027,Dallas,AL,Southern Company,SoCo,dallas_al
IC-1074,North Tifton - Pitts 230 kV Line,110.5,Solar,10/5/2022,8/15/2025,Turner,GA,Southern Company,SoCo,turner_ga
IC-1072,Greene County - Octagon 115 kV Line,80,Solar+Storage,10/4/2022,7/2/2027,Marengo,AL,Southern Company,SoCo,marengo_al
IC-1071,Greene County - North Selma 230 kV Line,336,Solar,9/27/2022,6/30/2027,Perry,AL,Southern Company,SoCo,perry_al
IC-1068,Vidalia - Wadley Primary (BLACK) 230 kV Line,124,Solar+Storage,9/20/2022,7/1/2027,Emanuel,GA,Southern Company,SoCo,emanuel_ga
IC-1067,Shaddock Creek - Vidalia 115 kV Line,110.5,Solar,9/9/2022,8/15/2026,Treutlen,GA,Southern Company,SoCo,treutlen_ga
IC-1066,Dothan - Pinckard No. 2 115 kV Line,80,Solar,9/9/2022,8/15/2030,Dale,AL,Southern Company,SoCo,dale_al
IC-1061,Bellamy - Demopolis 115 kV Line,80,Solar+Storage,9/7/2022,4/2/2027,Marengo,AL,Southern Company,SoCo,marengo_al
IC-1060,Greene County - Octagon 115 kV Line,80,Solar+Storage,9/7/2022,7/2/2027,Marengo,AL,Southern Company,SoCo,marengo_al
IC-1059,Pike County TS Substation 230 kV Bus,500,Solar+Storage,9/2/2022,3/31/2027,Pike,AL,Southern Company,SoCo,pike_al
